David Haydock,"EEG microstates as a tool for studying the temporal dynamics of whole-brain neuronal networks: A review","20231003-eeg-microstates-as-a-tool-for-studying-the-temporal-dynamics-of-whole-brain-neuronal-networks-a-review.rst",0,0,0,0,1
Alireza Poshtkohi,"Mathematical Modelling of Plasma Membrane Electrophysiology and Calcium Dynamics in Microglia","20231016-mathematical-modelling-of-plasma-membrane-electrophysiology-and-calcium-dynamics-in-microglia.rst",2023-10-20,0,0,0,1
Harpreet Singh,"Exploring Computer Science Students’ Perception of ChatGPT in Higher Education: A Descriptive and Correlation Study","20231030-exploring-computer-science-students-perception-of-chatgpt-in-higher-education-a-descriptive-and-correlation-study.rst",2023-11-03,0,0,0,1
Rebecca Miko,"Decoding the amplitude and slope of continuous signals into spikes with a spiking point neuron model","20231110-decoding-the-amplitude-and-slope-of-continuous-signals-into-spikes-with-a-spiking-point-neuron-model.rst",0,0,0,0,1
Paul Moggridge,"On Instance Weighted Clustering Ensembles","20231113-on-instance-weighted-clustering-ensembles.rst",0,0,0,0,1
Pinaki Saha,"Olfaction prediction using 3DCNN and molecular electron density.","20231120-olfaction-prediction-using-3dcnn-and-molecular-electron-density-.rst",0,0,0,0,1
Manal Helal,"Enhancing Deep Learning Models through Tensorization: A Comprehensive Survey and Framework","20231127-enhancing-deep-learning-models-through-tensorization-a-comprehensive-survey-and-framework.rst",0,0,0,0,1
Shamim Ibne Shahid,"Computer Vision and Image Analysis for Industry 4.0","20231204-computer-vision-and-image-analysis-for-industry-4-0.rst",0,0,0,0,1
Mahsa Aliakbarzadeh,"Rehabilitation Robotics Using Cerebellar Controller","20231211-rehabilitation-robotics-using-cerebellar-controller.rst",0,0,0,0,1
