Yi Sun,"Towards Discriminative representation learning for speech Emotion recognition","20200129-towards-discriminative-representation-learning-for-speech-emotion-recognition.rst",0,0,0,B200,1
Emil Dmitruk,"Hyperbolic geometry of the olfactory space","20200205-hyperbolic-geometry-of-the-olfactory-space.rst",0,0,0,B200,1
Na Helian,"Dynamic Hierarchical Structure for Cloud Computing Job Scheduling Utilizing Artificial Intelligence Technologies","20200212-dynamic-hierarchical-structure-for-cloud-computing-job-scheduling-utilizing-artificial-intelligence-technologies.rst",0,0,0,B200,1
Yaqoob Muhammad,"Autaptic Connections Shift Network Excitability and Bursting","20200219-autaptic-connections-shift-network-excitability-and-bursting.rst",0,0,0,B200,1
Emil Dmitruk,"Cliques of Neurons Bound into Cavities Provide a Missing Link between Structure and Function","20200226-cliques-of-neurons-bound-into-cavities-provide-a-missing-link-between-structure-and-function.rst",0,0,0,B200,1
Emil Dmitruk,"Cliques of Neurons Bound into Cavities Provide a Missing Link between Structure and Function- continued","20200305-cliques-of-neurons-bound-into-cavities-provide-a-missing-link-between-structure-and-function-continued.rst",0,0,0,C154,1
Ohki Katakura,"Spatiotemporal network coding of physiological mossy fiber inputs by the cerebellar granular layer","20200311-spatiotemporal-network-coding-of-physiological-mossy-fiber-inputs-by-the-cerebellar-granular-layer.rst",0,0,0,C154,1
Anna Dumitriu,"Cyberspecies Proximity - Anna Dumitriu and Alex May","20200401-cyberspecies-proximiy.rst",2020-04-03,0,0,online,1
Damien Drix,"The control of plastic inhibition over excitatory synaptic plasticity leads to the joint emergence of sensory coding and contrast invariance","20200424-the-control-of-plastic-inhibition-over-excitatory-synaptic-plasticity-leads-to-the-joint-emergence-of-sensory-coding-and-contrast-invariance.rst",2020-04-24,0,0,online,1
Shabnam Kadir,"Illusory sound texture reveals multi-second statistical completion in auditory scene analysis","20200513-illusory-sound-texture-reveals-multi-second-statistical-completion-in-auditory-scene-analysis.rst",2020-05-15,0,0,online,1
Volker Steuber,"","",2020-05-15,0,0,B154,1
Reinoud Maex,"","",0,0,0,B154,1
Ritesh Kumar,"","",0,0,0,B154,1
Mohammad Tayarani-Najaran,"","",0,0,0,B154,1
Rebecca Miko,"","",0,0,0,B154,1
Deepak Panday,"","",0,0,0,D449,1
Ankur Sinha,"","",0,0,0,B154,1
Emil Dmitruk  ,"","",0,0,0,B154,1
Sam Sutton,"","",0,0,0,D449,1
Volker Steuber,"","",0,0,0,D449,1
Ritesh Kumar,"","",0,0,0,1F390,1
