---,"","",0,0,0,0,1
---,"","",0,0,0,0,1
---,"","",0,0,0,0,1
Mahsa Aliakbarzadeh,"On Robot Compliance: A Cerebellar Control Approach","20221109-on-robot-compliance-a-cerebellar-control-approach.rst",0,0,0,0,1
Nik Dennler,"Neuromorphic Engineering Needs Closed-Loop Benchmarks","20221116-neuromorphic-engineering-needs-closed-loop-benchmarks.rst",0,0,0,0,1
David Haydock,"Novel Computational Methods for Predicting Transitions in Spatiotemporal Neurodynamics between Attention and Mind-wandering","20221018-novel-computational-methods-for-predicting-transitions-in-spatiotemporal-neurodynamics-between-attention-and-mind-wandering.rst",0,0,0,0,1
Eleonora Bernasconi,"","",0,0,0,0,1
Nada Yousif,"","",0,0,0,0,1
Mohammad Tayarani-Najaran,"","",0,0,0,0,1
Epaminondas Kapetanios ,"","",0,0,0,0,1
Reinoud Maex,"","",0,0,0,0,1
